Task,Task Type,Title,human_labels,Task_detailed,Exposed
Monitor and record switchboard or control board readings to ensure that electrical or steam distribution equipment is operating properly.,Supplemental,Power Distributors and Dispatchers,E0,"Monitor and record switchboard or control board readings to ensure that electrical or steam distribution equipment is operating properly. However, this does not include controlling, adjusting, or responding to equipment operations or emergencies. The task is limited to observation and documentation of equipment status.",
Maintain quality of pool water by testing chemical levels.,Core,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",E0,"Maintain quality of pool water by testing chemical levels. However, this does not include performing rescues, administering first aid, or monitoring recreational areas for safety. The task is limited to chemical testing and does not involve emergency response or facility supervision.",0.0
"Confer with other staff members to plan, schedule, or conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.",,"Special Education Teachers, Kindergarten",E2,"Confer with other staff members to plan, schedule, or conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate. However, this does not include administering tests, developing individual educational plans, or managing classroom behavior. The focus is solely on collaborative planning and organizing instructional activities.",
"Design or supervise the installation of sprinkler systems, calculating water pressure, or valve and pipe coverage needs.",Core,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",E2,"Design or supervise the installation of sprinkler systems, calculating water pressure, or valve and pipe coverage needs. However, this does not include performing routine maintenance or repairs on existing sprinkler systems. The focus is on planning and oversight rather than hands-on installation or troubleshooting.",
"Recruit, interview, and hire or sign up volunteers and staff.",Core,Social and Community Service Managers,E0,"Recruit, interview, and hire or sign up volunteers and staff. However, this does not include managing or evaluating their ongoing work performance or directing their daily activities. This task is limited to the initial recruitment and hiring process only.",
Select and schedule class times to ensure maximum attendance.,Supplemental,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",E2,"Select and schedule class times to ensure maximum attendance. However, this does not include developing curriculum content or managing student assessments. The focus is solely on organizing class schedules to optimize student participation.",
"Write grants to procure external funding, and supervise grant-funded projects.",Supplemental,"Education Administrators, Postsecondary",E1,"Write grants to procure external funding, and supervise grant-funded projects. However, this does not include managing general institutional budgets or overseeing personnel unrelated to grant-funded initiatives. The focus is specifically on securing and administering external grant resources.",1.0
"Drill, countersink, and ream holes in parts and assemblies for bolts, screws, and other fasteners, using power tools.",Core,"Model Makers, Metal and Plastic",E0,"Drill, countersink, and ream holes in parts and assemblies for bolts, screws, and other fasteners, using power tools. However, this does not include setting up or operating the machines used for these processes or assembling the parts after drilling. The task is limited solely to performing the hole-making operations.",0.0
Interpret aerial or ortho photographs.,Core,Geographic Information Systems Technologists and Technicians,E2,"Interpret aerial or ortho photographs. However, this does not include producing maps, databases, or reports based on the interpreted images. The task is limited to analyzing and understanding the content of the photographs without further data processing or GIS application development.",
"Compile reports, charts, or graphs that describe and interpret findings of analyses.",Core,Statistical Assistants,E2,"Compile reports, charts, or graphs that describe and interpret findings of analyses. However, this does not include performing the initial data collection, coding, or statistical testing. The task focuses solely on presenting and explaining the results derived from completed analyses.",1.0
Prepare trial balances of books.,Supplemental,"Bookkeeping, Accounting, and Auditing Clerks",E2,"Prepare trial balances of books. However, this does not include preparing payroll information, processing payments, or reconciling bank transactions. The task is limited to compiling and verifying the accuracy of ledger balances to ensure that total debits equal total credits.",
"Answer incoming calls, greeting callers, providing information, transferring calls or taking messages as necessary.",Core,"Switchboard Operators, Including Answering Service",E1,"Answer incoming calls, greeting callers, providing information, transferring calls or taking messages as necessary. However, this does not include performing administrative duties, handling cash, monitoring alarms, or managing visitor access. The focus is solely on managing telephone communications.",0.0
"Cut, miter, and glue piping insulation to insulate plumbing pipes and fittings.",Core,Solar Thermal Installers and Technicians,E0,"Cut, miter, and glue piping insulation to insulate plumbing pipes and fittings. However, this does not include installing plumbing, connecting water heaters, or performing repairs on solar thermal system components. The task is limited to preparing and applying insulation materials to existing pipes and fittings.",0.0
Drill holes in marble or ornamental stone and anchor brackets in holes.,Core,Stonemasons,E0,"Drill holes in marble or ornamental stone and anchor brackets in holes. However, this does not include shaping, cutting, setting, or finishing the stone surfaces. The task is limited to creating holes and securing brackets only.",0.0
Maintain clean lobbies or entrance areas for travelers or guests.,Core,Baggage Porters and Bellhops,E0,"Maintain clean lobbies or entrance areas for travelers or guests. However, this does not include cleaning guest rooms, handling luggage, or providing guest services such as delivering messages or escorting guests. The focus is solely on keeping public lobby and entrance spaces tidy and presentable.",0.0
"Review lists of dealers, customers, or station drops and load trucks.",Supplemental,Driver/Sales Workers,E0,"Review lists of dealers, customers, or station drops and load trucks. However, this does not include handling financial transactions, resolving customer complaints, or selling products directly. This task is limited to verifying delivery or pickup points and physically loading items onto vehicles.",
Evaluate new software publishing systems and confer with regulatory agencies concerning news or updates on electronic publishing of submissions.,Core,Regulatory Affairs Managers,E2,"Evaluate new software publishing systems and confer with regulatory agencies concerning news or updates on electronic publishing of submissions. However, this does not include the preparation, submission, or review of regulatory documents or the development and implementation of regulatory policies and procedures. The focus is solely on assessing publishing technologies and maintaining communication regarding electronic submission standards.",
Formulate or modify recipes for specific kinds of food products.,Supplemental,Food Batchmakers,E1,"Formulate or modify recipes for specific kinds of food products. However, this does not include operating equipment, measuring ingredients, or performing quality control tests during the production process. These activities are separate from the development and adjustment of recipe formulations.",
Retouch photographic negatives or original prints to correct defects.,Supplemental,Photographic Process Workers and Processing Machine Operators,E2,"Retouch photographic negatives or original prints to correct defects. However, this does not include creating prints, operating processing machines, or performing chemical mixing and maintenance tasks. The focus is solely on manual or digital retouching to improve image quality.",
"Research computerized automotive applications, such as telemetrics, intelligent transportation systems, artificial intelligence, or automatic control.",Core,Automotive Engineers,E1,"Research computerized automotive applications, such as telemetrics, intelligent transportation systems, artificial intelligence, or automatic control. However, this does not include routine design, testing, calibration, or documentation tasks related to these systems. The focus is solely on exploratory research and development of novel computerized automotive technologies.",
"Post charges, such as those for rooms, food, liquor, or telephone calls, to ledgers, manually or by using computers.",Core,"Hotel, Motel, and Resort Desk Clerks",E2,"Post charges, such as those for rooms, food, liquor, or telephone calls, to ledgers, manually or by using computers. However, this does not include computing bills, collecting payments, or making change for guests. The task is limited to recording charges and does not involve financial transactions or guest interactions beyond posting charges.",
"Dress and otherwise finish boots or shoes, as by trimming the edges of new soles and heels to the shoe shape.",Supplemental,Shoe and Leather Workers and Repairers,E0,"Dress and otherwise finish boots or shoes, as by trimming the edges of new soles and heels to the shoe shape. However, this does not include attaching soles or heels, repairing damaged parts, or decorating the footwear. The task is limited to shaping and finishing the edges to achieve a clean and precise fit.",0.0
Rebuild gas or diesel engines.,Core,Bus and Truck Mechanics and Diesel Engine Specialists,E0,"Rebuild gas or diesel engines. However, this does not include routine maintenance, diagnostic testing, or repair of individual engine components without complete engine disassembly and reassembly. This task focuses solely on the comprehensive overhaul and reconstruction of entire engines.",0.0
Prepare and place meat cuts and products in display counter to appear attractive and catch the shopper's eye.,Core,Butchers and Meat Cutters,E0,"Prepare and place meat cuts and products in display counter to appear attractive and catch the shopper's eye. However, this does not include wrapping, weighing, labeling, pricing, cutting, or processing the meat. The task is limited to arranging and presenting the meat products for visual appeal only.",0.0
Replace valve stems and remove puncturing objects.,Core,Tire Repairers and Changers,E0,"Replace valve stems and remove puncturing objects. However, this does not include sealing punctures, patching tubes, or balancing wheels. The task is limited to the removal and replacement of valve stems and extraction of objects causing punctures.",0.0
"Activate machines to shape or form products, such as candy bars, light bulbs, balloons, or insulation panels.",Supplemental,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",E0,"Activate machines to shape or form products, such as candy bars, light bulbs, balloons, or insulation panels. However, this does not include adjusting machine components, measuring materials, or performing maintenance and cleaning tasks. The focus is solely on initiating machine operations to begin the shaping or forming process.",
Furnish change persons with a money bank at the start of each shift.,Supplemental,Gambling Change Persons and Booth Cashiers,E2,"Furnish change persons with a money bank at the start of each shift. However, this does not include exchanging money, credit, tickets, or casino chips with customers or performing any auditing or record-keeping duties. The task is limited to providing the initial cash bank and does not involve handling transactions during the shift.",
Train employees on organizations' timekeeping systems.,Supplemental,Payroll and Timekeeping Clerks,E0,"Train employees on organizations' timekeeping systems. However, this does not include processing employee paperwork, computing wages, or handling payroll tax returns. The focus is solely on instructing employees in the proper use of timekeeping tools and procedures.",
Observe pictures through monitors and direct camera and video staff concerning shading and composition.,Core,Media Technical Directors/Managers,E2,"Observe pictures through monitors and direct camera and video staff concerning shading and composition. However, this does not include operating equipment, scheduling, or managing technical policies related to broadcasts. The focus is solely on visual aspects such as shading and composition during production.",0.0
"Establish practice guidelines for specialty areas such as primary health care of women, care of the childbearing family, and newborn care.",Core,Nurse Midwives,E2,"Establish practice guidelines for specialty areas such as primary health care of women, care of the childbearing family, and newborn care. However, this does not include direct patient care, documentation, or educational activities. The focus is solely on developing overarching protocols and standards for clinical practice within these specialty areas.",1.0
"Read work orders to determine dimensions, cutting locations, and quantities to cut.",Core,"Cutters and Trimmers, Hand",E0,"Read work orders to determine dimensions, cutting locations, and quantities to cut. However, this does not include physically marking, cutting, trimming, or handling the materials. It solely involves interpreting and understanding the specifications provided in the work orders.",
"Evaluate vulnerability assessments of local computing environments, networks, infrastructures, or enclave boundaries.",,Penetration Testers,E2,"Evaluate vulnerability assessments of local computing environments, networks, infrastructures, or enclave boundaries. However, this does not include conducting physical security assessments, performing penetration tests, or developing security solutions. The focus is solely on analyzing existing vulnerability assessment reports to identify potential security gaps.",1.0
Consult with other professionals about patients' neurological conditions.,,Neuropsychologists,E0,"Consult with other professionals about patients' neurological conditions. However, this does not include conducting formal neuropsychological evaluations, diagnosing conditions, or designing rehabilitation plans. The consultation is limited to collaborative discussions and information sharing to support patient care.",
"Perform tests and monitor performance of processes throughout stages of production to determine degree of control over variables such as temperature, density, specific gravity, and pressure.",Core,Chemical Engineers,E0,"Perform tests and monitor performance of processes throughout stages of production to determine degree of control over variables such as temperature, density, specific gravity, and pressure. However, this does not include troubleshooting process problems, designing equipment layouts, or developing new chemical manufacturing processes. The focus is solely on monitoring and testing existing production stages to assess control over key variables.",
"Attach test instruments to equipment, and read dials and gauges to diagnose malfunctions.",Core,Bus and Truck Mechanics and Diesel Engine Specialists,E0,"Attach test instruments to equipment, and read dials and gauges to diagnose malfunctions. However, this does not include performing repairs, adjustments, or maintenance based on the diagnostic results. The task is limited to the initial diagnostic process using test instruments.",
"Move containers of mail, using equipment, such as forklifts and automated ""trains"".",Supplemental,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",E0,"Move containers of mail, using equipment, such as forklifts and automated ""trains"". However, this does not include sorting, labeling, or routing mail items. The task is limited to the physical movement of mail containers within the facility.",0.0
Direct and coordinate the activities of staff and contract personnel and evaluate their performance.,Core,"Property, Real Estate, and Community Association Managers",E0,"Direct and coordinate the activities of staff and contract personnel and evaluate their performance. However, this does not include managing property maintenance, financial transactions, tenant relations, or negotiating contracts. The focus is solely on overseeing personnel and assessing their work effectiveness.",
"Perform various data entry or word processing tasks, such as updating phone directories, typing or proofreading documents, or creating schedules.",Core,"Switchboard Operators, Including Answering Service",E2,"Perform various data entry or word processing tasks, such as updating phone directories, typing or proofreading documents, or creating schedules. However, this does not include handling communications, managing security protocols, or processing financial transactions. These tasks are limited to clerical data management and document preparation only.",1.0
"Approve loans within specified limits, and refer loan applications outside those limits to management for approval.",Core,Loan Officers,E2,"Approve loans within specified limits, and refer loan applications outside those limits to management for approval. However, this does not include analyzing applicants' financial status, counseling clients on financial problems, or handling delinquent accounts. The task is limited to decision-making within set authority levels and does not involve broader financial advisory or collection responsibilities.",
"Formulate pricing policies for merchandise, according to profitability requirements.",Supplemental,First-Line Supervisors of Retail Sales Workers,E1,"Formulate pricing policies for merchandise, according to profitability requirements. However, this does not include setting individual product prices or handling day-to-day price adjustments. The task focuses on developing overarching pricing strategies rather than operational pricing decisions.",
